Name,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
BIM,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
BIM,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
BIM,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIM,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIM,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIM,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIM,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
BIM,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
BLTU,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BLTU,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
BLTU,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
BLTU,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BLTU,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BLTU,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BLTU,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BLTU,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
BLTU,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
CBNG,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CBNG,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
CBNG,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
CBNG,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CBNG,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CBNG,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CBNG,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CBNG,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
CBNG,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
CDHV,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
